DATE,CODE INSEE,REGION,PRODUCTION,POMPAGE,ECHANGE,CONSOMMATION
2017-12,44,Grand-Est,10562047,82957,5824576,4654514
2017-12,75,Nouvelle-Aquitaine,5786272,,953711,4832561
2017-12,76,Occitanie,3244040,217103,-1445420,4472357
2017-12,93,Provence-Alpes-Côte d'Azur,1844872,4910,-2744902,4584864
2018-12,84,Auvergne-Rhône-Alpes,11306305,399280.348,4235371.304,6671653.343
2018-12,53,Bretagne,466166.877,5654.101,-1823495.896,2284008.672
2018-12,76,Occitanie,3148240.598,204610.127,-907856.742,3851487.213
2018-01,44,Grand-Est,10388862.56,100821.364,5789365.163,4498676.033
2018-01,93,Provence-Alpes-Côte d'Azur,1400315.82,8338.561,-2622207.245,4014184.504
2018-03,84,Auvergne-Rhône-Alpes,10569866.64,351540.345,3480403.622,6737922.676
2018-03,32,Hauts-de-France,5106449.277,0,150227.594,4956221.683
2018-03,52,Pays de la Loire,950397.712,0,-1886631.992,2837029.704
2018-04,44,Grand-Est,7596806.346,69707.038,4003636.708,3523462.6
2018-05,27,Bourgogne-Franche-Comté,187086.406,5667.224,-1366483.166,1547902.348
2018-06,94,Corse,113932.781,0,-40437.627,154370.408
2018-06,44,Grand-Est,8194236.12,62989.157,4821002.67,3310244.293
2018-06,28,Normandie,4671226.399,0,2828491.083,1842735.316
2018-06,76,Occitanie,2693651.44,195432.437,-46298.084,2544517.087
2018-07,32,Hauts-de-France,3663153.209,0,42089.536,3621063.673
2018-07,76,Occitanie,2384070.048,163002.898,-688148.614,2909215.764
2018-07,52,Pays de la Loire,700833.076,0,-1217463.5,1918296.576
2018-07,93,Provence-Alpes-Côte d'Azur,1250128.508,209.408,-1941344.012,3191263.112
2018-08,27,Bourgogne-Franche-Comté,165236.483,1338.598,-1240921.252,1404819.137
2018-08,28,Normandie,5760764.294,0,3939757.582,1821006.712
2018-09,94,Corse,111276.136,0,-48870.949,160147.085
2018-09,93,Provence-Alpes-Côte d'Azur,1059923.534,33.285,-1721328.169,2781218.418
2018-10,93,Provence-Alpes-Côte d'Azur,1535528.757,0.045,-1303396.252,2838924.964
2018-11,11,Ile-de-France,479657.821,0,-6278789.944,6758447.765
2019-01,11,Ile-de-France,525126,,-7568803,8093929
2019-01,24,Centre-Val de Loire,8019544,,5768725,2250819
2019-01,32,Hauts-de-France,6313001,,929306,5383695
2019-03,11,Ile-de-France,444892,,-6026953,6471844
2019-03,27,Bourgogne-Franche-Comté,513341,5824,-1480245,1987762
2019-03,75,Nouvelle-Aquitaine,5394607,,1494183,3900424
2019-03,93,Provence-Alpes-Côte d'Azur,1404832,8866,-2070627,3466594
2019-04,76,Occitanie,3170316,42513,80464,3047340
2019-05,32,Hauts-de-France,3508734,,-377475,3886208
2019-05,76,Occitanie,3320829,202917,408922,2708990
2019-05,94,Corse,127566,,-46574,174140
2019-06,52,Pays de la Loire,307194,,-1482763,1789957
2019-07,27,Bourgogne-Franche-Comté,192858,338,-1333623,1526143
2019-07,28,Normandie,4792321,,2889235,1903086
2019-07,44,Grand-Est,6519093,42001,3178379,3298712
2019-07,75,Nouvelle-Aquitaine,4483421,,1238070,3245352
2019-09,32,Hauts-de-France,3769651,,214927,3554724
2019-09,52,Pays de la Loire,498740,,-1308963,1807703
2019-10,24,Centre-Val de Loire,5105480,,3671315,1434165
2019-10,52,Pays de la Loire,484633,,-1600045,2084678
2019-11,11,Ile-de-France,482383,,-6244419,6726802
2019-11,94,Corse,139294,,-51229,190523
2019-12,28,Normandie,3706902,,860926,2845976
2019-12,32,Hauts-de-France,5578549,,725195,4853354
2019-12,53,Bretagne,568091,5948,-1847953,2410095
2014-01,24,Centre-Val de Loire,8353338,,6318772,2034566
2014-01,28,Normandie,7972695,,5102701,2869994
2014-01,75,Nouvelle-Aquitaine,4689007,,187855,4501152
2014-02,53,Bretagne,347860,3910,-1816956,2160906
2014-02,84,Auvergne-Rhône-Alpes,11323398,369537,4940105,6013756
2014-02,93,Provence-Alpes-Côte d'Azur,1347697,2074,-2585849,3931472
2014-02,94,Corse,142374,,-66612,208986
2014-03,27,Bourgogne-Franche-Comté,217829,258,-1673459,1891030
2014-03,84,Auvergne-Rhône-Alpes,10828411,358531,4504774,5965106
2014-03,94,Corse,143728,,-67859,211587
2014-04,11,Ile-de-France,206599,,-5190317,5396916
2014-04,52,Pays de la Loire,494643,,-1604574,2099217
2014-05,24,Centre-Val de Loire,6405965,,5056559,1349406
2014-05,93,Provence-Alpes-Côte d'Azur,1424627,7682,-1531121,2948066
2014-06,32,Hauts-de-France,2472024,,-1197371,3669395
2014-07,24,Centre-Val de Loire,6305957,,5016056,1289901
2014-08,11,Ile-de-France,116791,,-4238212,4355003
2014-08,53,Bretagne,171074,4851,-1270997,1437220
2014-08,76,Occitanie,2165448,225364,-557241,2497325
2014-08,94,Corse,129663,,-53227,182890
2014-09,24,Centre-Val de Loire,4875498,,3579333,1296165
2014-09,53,Bretagne,135673,3686,-1344424,1476411
2014-09,75,Nouvelle-Aquitaine,3237218,,275837,2961381
2014-09,76,Occitanie,2290400,191530,-452279,2551149
2014-10,11,Ile-de-France,287618,,-5248051,5535669
2014-10,27,Bourgogne-Franche-Comté,108612,187,-1561139,1669564
2014-10,28,Normandie,6284031,,4133267,2150764
2014-10,32,Hauts-de-France,3759912,,-419361,4179273
2014-11,11,Ile-de-France,430685,,-5824717,6255402
2014-12,28,Normandie,7635371,,4708274,2927097
2014-12,53,Bretagne,311773,4553,-2011557,2318777
2014-12,75,Nouvelle-Aquitaine,4968309,,368279,4600030
2014-12,76,Occitanie,3007994,188878,-1128689,3947805
2015-01,11,Ile-de-France,602675,,-7758843,8361518
2015-01,28,Normandie,8002484,,4953831,3048653
2015-01,32,Hauts-de-France,5262065,,-211278,5473343
2015-01,53,Bretagne,353822,5057,-2113269,2462034
2015-01,75,Nouvelle-Aquitaine,4861200,,-91015,4952215
2015-01,84,Auvergne-Rhône-Alpes,12696010,323232,5249639,7123139
2015-01,93,Provence-Alpes-Côte d'Azur,1965982,6348,-2559848,4519482
2015-01,94,Corse,155569,,-84279,239848
2015-03,11,Ile-de-France,594537,,-6647921,7242458
2015-03,24,Centre-Val de Loire,8404865,,6544217,1860648
2015-03,44,Grand-Est,7453987,121729,3118987,4213271
2015-03,76,Occitanie,3664992,129718,84927,3450347
2015-03,93,Provence-Alpes-Côte d'Azur,1593235,1059,-2276167,3868343
2015-04,28,Normandie,6006269,,3821990,2184279
2015-04,32,Hauts-de-France,3220435,,-951165,4171600
2015-04,44,Grand-Est,6724766,124293,3002268,3598205
2015-04,53,Bretagne,200115,4722,-1517128,1712521
2015-04,84,Auvergne-Rhône-Alpes,10103668,380085,4439658,5283925
2015-05,32,Hauts-de-France,3268559,,-605540,3874099
2015-05,53,Bretagne,208082,4619,-1383551,1587014
2015-06,32,Hauts-de-France,3650683,,-33872,3684555
2015-06,44,Grand-Est,7879551,110024,4481951,3287576
2015-06,76,Occitanie,3002633,196050,285603,2520980
2015-08,27,Bourgogne-Franche-Comté,115220,4506,-1227777,1338491
2015-08,28,Normandie,4730887,,2966162,1764725
2015-09,11,Ile-de-France,111879,,-4845438,4957317
2015-09,28,Normandie,5042870,,3078086,1964784
2015-09,52,Pays de la Loire,495588,,-1346432,1842020
2015-09,53,Bretagne,187016,3978,-1316638,1499676
2015-09,75,Nouvelle-Aquitaine,4082821,,1111480,2971341
2015-10,53,Bretagne,194070,4475,-1566164,1755759
2015-11,76,Occitanie,2815519,159575,-458155,3114099
